오더No,상품코드,케이스사이즈(W),케이스사이즈(L),케이스사이즈(H),케이스중량,케이스수,취급구분,카테고리
430,1464044,100.76,245.3,80.3,34.3,10,0,Small
430,1536694,236.28,296.78,115.94,114.6,2,0,Small
430,1467662,79.42,244.64,112.64,35.6,5,0,Small
430,1468784,92.62,329.12,95.04,101,1,0,Small
431,1537023,303.6,339.68,129.8,206.6,2,0,Large
431,1542965,157.52,254.32,104.28,79.5,5,0,Large
431,1543542,266.2,291.06,158.84,153.4,2,0,Large
431,1542677,113.74,269.94,100.1,62.7,5,0,Large
431,1710269,107.58,269.94,77.88,32.9,5,0,Large
431,1539985,105.82,249.26,94.38,29.6,5,0,Large
431,1537998,267.3,365.42,110.44,193.1,1,0,Large
431,1543866,222.64,417.78,180.4,536.2,1,0,Large
431,1544155,284.02,317.46,125.4,249.6,1,0,Large
431,1538015,287.32,303.82,117.48,194.9,1,0,Large
431,1543199,197.34,422.4,54.12,108.2,1,0,Large
431,1542026,130.02,248.16,100.54,57.8,2,0,Large
431,1544001,99.44,320.32,90.64,59.7,2,0,Large
431,1711722,148.28,177.1,83.82,92.3,2,0,Large
431,1542144,100.1,235.84,82.94,36.4,2,0,Large
431,1544064,133.54,285.12,98.78,63.8,1,0,Large
431,1710309,105.82,269.94,77.88,37.8,1,0,Large
433,2018645,186.34,276.32,161.7,169.3,10,0,Large
433,2019155,276.54,313.28,160.6,321,5,0,Large
433,2017471,137.28,291.06,78.1,38.2,5,0,Large
433,2119531,109.34,272.14,92.18,48.6,5,0,Large
433,2119228,101.86,276.32,127.16,87.1,5,0,Large
433,2120563,140.8,308.66,91.74,69.1,3,0,Large
433,2017586,102.3,238.26,85.8,39.9,5,0,Large
433,2019273,278.74,377.3,127.6,243.2,1,0,Large
433,2222753,223.52,233.42,101.2,110.5,2,0,Large
433,2016973,112.64,292.16,86.68,63.3,2,0,Large
433,2121216,112.2,238.26,97.02,67.7,2,0,Large
433,2116094,104.72,274.56,127.82,77.7,1,0,Large
437,3517863,232.32,493.9,77.66,205.9,3,0,Large
437,3212507,354.64,390.72,270.16,338.6,2,0,Large
437,3517248,225.94,445.94,69.52,183.9,2,0,Large
437,3517966,203.5,432.3,62.92,128.3,2,0,Large
437,3421838,136.4,313.06,102.74,106.5,3,0,Large
437,3517563,105.82,241.78,73.92,40.5,5,0,Large
437,3319308,135.52,276.98,134.42,170,3,0,Large
437,3319911,264.44,313.94,104.06,199.5,1,0,Large
437,3320031,113.3,303.38,89.76,53.3,2,0,Large
437,3517327,154.66,262.24,116.82,198.4,1,0,Large
437,3320304,112.64,264.66,82.06,41.2,1,0,Large
439,4602612,161.48,388.3,110.66,113.9,10,0,Large
439,4404371,222.42,472.34,80.52,186.9,5,0,Large
439,4602403,166.76,243.98,118.14,109.2,5,0,Large
439,4403649,120.12,302.06,94.16,65.4,5,0,Large
439,4602572,116.6,289.3,85.36,54,5,0,Large
439,4405296,182.82,291.72,154.44,278.1,3,0,Large
439,4601826,114.84,286.22,86.02,38.3,3,0,Large
439,4600558,117.92,235.84,95.26,41.9,3,0,Large
439,4601968,159.28,255.86,160.16,179.4,2,0,Large
439,4403652,257.62,315.04,119.9,202.6,1,0,Large
439,4403613,120.34,301.62,95.48,50,2,0,Large
439,4703349,179.3,364.98,73.26,57.9,1,0,Large
439,4403767,109.78,241.12,80.52,37,2,0,Large
439,4703337,114.4,361.9,60.5,26.6,1,0,Large
440,4810569,140.8,410.08,125.62,188.4,5,0,Large
440,4910842,109.78,356.18,103.18,78.9,5,0,Large
440,4810493,111.1,300.96,97.02,48.3,5,0,Large
440,5005179,143.22,227.04,125.62,126.8,5,0,Large
440,4910069,112.2,283.36,111.98,58.6,5,0,Large
440,4911455,110.44,278.74,103.4,61.4,5,0,Large
440,4807853,104.06,266.86,77,36.1,5,0,Large
440,4910084,280.06,405.9,121.44,228.6,1,0,Large
440,4911337,109.78,300.3,84.04,59.2,3,0,Large
440,4808896,104.5,246.4,78.1,36.5,3,0,Large
440,4911937,135.74,267.52,128.92,123.7,2,0,Large
441,5005794,141.46,225.28,125.84,128.2,10,0,Large
441,6107407,267.3,421.74,169.18,205.7,2,0,Large
441,6108141,137.28,312.62,140.14,178.6,5,0,Large
441,5005601,143.88,225.94,130.02,103.9,5,0,Large
441,5102461,109.78,273.9,87.78,58.3,5,0,Large
441,6302786,109.34,257.62,78.32,41.5,5,0,Large
441,5303559,155.76,320.32,83.82,97.5,2,0,Large
441,6107761,114.4,256.74,100.1,46.7,3,0,Large
441,5207784,274.78,293.26,188.1,281.8,1,0,Large
441,6415479,204.16,387.2,171.16,212.8,1,0,Large
441,5904239,133.98,221.1,73.26,39.4,2,0,Large
441,5005688,141.68,237.38,132.22,138.1,1,0,Large
441,6302214,141.46,189.42,86.68,57.9,1,0,Large
443,7611825,354.2,511.5,185.02,665.7,3,0,Large
443,7611955,354.64,513.26,185.46,664.9,2,0,Large
443,7611982,355.96,514.58,187.22,664,1,0,Large
443,7611931,355.96,511.5,185.46,665,1,0,Large
443,7612098,355.96,509.74,185.46,665,1,0,Large
444,7613681,184.58,339.68,139.92,159.7,5,0,Large
444,7613251,184.58,341.44,140.14,159.9,3,0,Large
444,7613509,181.06,337.92,140.36,159.8,3,0,Large
444,7612714,357.06,512.16,185.24,665.3,1,0,Large
444,7612505,355.3,510.4,184.58,663.4,1,0,Large
444,7613299,184.58,337.92,138.82,160.4,2,0,Large
444,7614113,186.34,343.2,140.14,160.5,1,0,Large
444,7613899,184.58,343.2,139.92,159.7,1,0,Large
444,7613548,186.34,339.68,140.14,159.9,1,0,Large
448,13203386,233.2,289.3,97.24,87.1,10,0,Large
448,13203532,120.12,257.84,90.64,42.4,10,0,Large
448,14306215,113.74,248.82,78.76,56.7,10,0,Large
448,20914222,247.72,302.72,172.48,231,2,0,Large
448,14305898,151.14,262.9,154.88,190.3,3,0,Large
448,13203611,94.16,238.7,119.24,54.5,5,0,Large
448,20915423,116.6,280.5,98.78,51.5,3,0,Large
448,18600337,121.88,257.62,164.12,136.5,3,0,Large
448,13203595,104.06,280.5,73.04,49.1,2,0,Large
448,20912992,101.86,282.48,84.48,41.8,2,0,Large
448,17908035,114.4,235.18,58.74,23.9,2,0,Large
448,14306684,80.52,249.26,100.76,33.8,2,0,Large
448,20914573,124.08,270.38,102.52,73.1,1,0,Large
450,27139395,100.76,265.76,66,32.4,5,0,Small
450,130801878,94.82,280.94,121.44,47.5,5,0,Small
450,27145809,134.64,338.58,58.08,26.5,2,0,Small
450,116904892,257.62,348.48,141.46,239.6,1,0,Small
450,27143055,102.3,243.98,84.92,36.9,3,0,Small
450,27148799,108.02,257.62,88,43.4,2,0,Small
450,116908184,114.84,259.82,96.14,58.3,1,0,Small
451,1131423,285.12,470.8,282.48,936.6,3,0,Large
451,1117443,184.58,433.62,58.08,110.9,3,0,Large
451,1131383,197.78,328.02,161.04,169.4,2,0,Large
451,1131135,111.54,228.14,77.22,33.6,4,0,Large
451,1124433,182.82,435.38,56.54,111.3,1,0,Large
451,1131526,192.94,373.12,170.5,176.4,1,0,Large
451,1131344,198.88,326.7,158.62,170.2,1,0,Large
451,1130652,120.12,243.98,124.3,114.9,2,0,Large
451,1128128,115.5,225.28,73.92,50.3,2,0,Large
451,1110596,198.88,229.9,93.28,77.8,1,0,Large
451,1131292,150.7,255.86,94.16,85.6,1,0,Large
451,1224793,139.04,236.5,80.52,52.3,1,0,Large
451,1225719,131.12,249.26,103.4,51.1,1,0,Large
451,1129786,111.54,262.9,115.06,41.4,1,0,Large
451,1104002,96.58,224.18,80.96,35.4,1,0,Large
451,1127724,98.34,209.44,67.32,23.4,1,0,Large
452,1427109,292.16,335.06,132.88,302.6,4,0,Large
452,1427096,122.54,289.3,95.26,72,5,0,Large
452,1226138,105.16,258.72,81.18,52.3,6,0,Large
452,1229168,213.18,373.12,121.44,141.6,2,0,Large
452,1266597,223.08,311.52,129.14,238.1,2,0,Large
452,1263058,97.68,256.96,77.88,40.5,5,0,Large
452,1227093,255.86,403.04,134.2,393.8,1,0,Large
452,1258328,140.8,248.16,111.76,73.4,2,0,Large
452,1263101,233.42,287.98,100.98,177.2,1,0,Large
452,1229862,106.26,287.54,84.7,42.9,2,0,Large
452,1257806,223.08,270.38,108.02,140.6,1,0,Large
452,1269655,126.5,221.76,146.08,120.8,2,0,Large
452,1262106,223.52,236.5,93.06,110.4,1,0,Large
452,1229092,99.44,223.52,103.62,33.7,2,0,Large
452,1227078,131.12,292.16,102.96,88.7,1,0,Large
452,1455746,78.32,243.54,108.9,32.2,2,0,Large
452,1455758,117.26,292.82,102.3,70.4,1,0,Large
452,1227027,115.5,290.4,95.26,74,1,0,Large
452,1227157,114.4,291.06,88.88,67.4,1,0,Large
452,1265933,130.46,247.72,99,49.2,1,0,Large
452,1459795,133.54,232.98,101.86,49.9,1,0,Large
452,1264547,121.22,248.16,97.02,46.4,1,0,Large
452,1229717,102.96,267.52,80.3,40.9,1,0,Large
452,1263985,114.84,235.18,78.1,44.8,1,0,Large
452,1264038,114.84,234.08,78.1,45.4,1,0,Large
452,1426429,101.86,251.02,86.68,43.4,1,0,Large
452,1229144,99.44,221.76,103.62,38,1,0,Large
452,1426547,82.72,247.06,110.88,33.7,1,0,Large
452,1459859,79.86,243.54,111.76,31.9,1,0,Large
452,1426638,79.42,243.54,108.46,40,1,0,Large
452,1426586,78.32,243.54,108.9,38.7,1,0,Large
456,2223484,397.76,525.14,130.46,240,5,0,Large
456,2308755,328.24,359.04,99,128.2,3,0,Large
456,2705028,124.08,284.02,88.44,71.1,3,0,Large
456,2507115,204.16,256.96,205.7,192,2,0,Large
456,2122641,256.96,403.7,104.5,239.7,1,0,Large
456,2507387,243.1,366.08,112.64,246.1,1,0,Large
456,2122689,109.78,259.38,88.66,54.1,2,0,Large
456,2705264,103.18,254.1,71.5,35.7,2,0,Large
456,2507948,100.1,245.3,81.84,33.9,2,0,Large
456,2224397,105.16,343.2,64.46,23.4,1,0,Large
456,2505731,116.6,282.26,153.34,91.9,1,0,Large
456,2224137,108.68,300.96,97.02,48.4,1,0,Large
456,2507363,109.78,265.76,91.96,58.2,1,0,Large
456,2222726,101.86,245.74,63.36,29.9,1,0,Large
462,7611825,354.2,511.5,185.02,665.7,1,0,Small
462,6303596,187,359.7,64.46,105.5,2,0,Small
462,6415885,278.3,292.82,92.18,127.3,1,0,Small
462,6415128,203.5,384.78,119.24,146.9,1,0,Small
463,7612008,355.3,554.4,185.68,770.6,2,0,Large
463,7611928,353.54,554.4,187,678,2,0,Large
463,7612192,354.64,512.82,185.24,667.1,2,0,Large
463,7611852,355.3,512.82,185.46,663.8,1,0,Large
466,20914222,247.72,302.72,172.48,231,2,0,Middle
466,20924396,259.38,292.16,204.38,351.6,1,0,Middle
466,13902613,193.82,313.28,192.5,449.5,1,0,Middle
466,14304528,139.7,190.74,85.8,48.1,2,0,Middle
466,18600546,213.18,247.5,109.56,73.1,1,0,Middle
466,14305247,134.64,303.38,110.44,115.3,1,0,Middle
466,15616806,154.66,252.78,100.32,61.4,1,0,Middle
466,20913657,114.4,282.26,98.78,53.7,1,0,Middle
466,20924345,114.4,281.6,99.44,50.8,1,0,Middle
466,20917852,104.94,281.38,83.82,37.5,1,0,Middle
466,20922752,103.4,279.18,85.36,37.3,1,0,Middle
466,14304531,142.12,192.5,85.8,58,1,0,Middle
466,18700737,114.84,235.18,85.58,54.7,1,0,Middle
466,20919003,98.34,264.44,116.16,60.8,1,0,Middle
466,20921721,101.86,246.4,85.8,39.6,1,0,Middle
468,27135843,282.26,334.4,136.62,390,1,0,Middle
468,27150069,282.26,333.74,137.72,409.2,1,0,Middle
468,27139395,100.76,265.76,66,32.4,3,0,Middle
468,27139447,229.9,282.92,101.86,157.1,1,0,Middle
468,27149494,107.58,300.96,84.48,39.2,2,0,Middle
468,100400074,223.52,259.38,182.6,297.3,1,0,Middle
468,27144623,106.26,255.64,90.42,45.3,2,0,Middle
468,28705335,150.04,319.66,158.62,184.7,1,0,Middle
468,51029851,159.72,292.16,114.84,114.8,1,0,Middle
468,28703166,90.86,220,71.06,28,2,0,Middle
468,27145381,133.98,273.46,115.94,48,1,0,Middle
468,27148618,125.84,288.64,164.34,205.3,1,0,Middle
468,27145421,108.68,256.96,85.14,35.6,1,0,Middle
468,27148799,108.02,257.62,88,43.4,1,0,Middle
468,27139889,100.76,264.44,65.78,39.5,1,0,Middle
468,27139435,99,265.76,66.22,40.9,1,0,Middle
472,2309723,103.4,328.46,96.14,39.7,5,0,Large
472,2016961,107.58,247.5,86.46,48.2,5,0,Large
472,1918923,319,361.9,117.7,219.9,1,0,Large
472,2016437,267.3,425.26,163.46,206.7,1,0,Large
472,2016582,113.3,303.82,99.22,59.7,3,0,Large
472,2018645,186.34,276.32,161.7,169.3,2,0,Large
472,2224137,108.68,300.96,97.02,48.4,3,0,Large
472,2119555,254.54,356.18,118.58,193.6,1,0,Large
472,1917446,104.5,245.3,82.28,43.2,3,0,Large
472,2019261,124.08,279.84,102.08,58.2,2,0,Large
472,2113479,92.62,245.96,92.4,37.7,3,0,Large
472,1922255,81.62,262.24,111.98,40,3,0,Large
472,2016579,113.74,256.74,100.32,46.5,2,0,Large
472,2123672,152.9,339.02,138.82,96.9,1,0,Large
472,2505234,101.86,246.4,82.94,42.9,2,0,Large
472,2121061,123.64,401.94,58.08,38.5,1,0,Large
472,1921981,101.86,241.12,78.32,37.4,2,0,Large
472,1923338,101.64,236.5,90.64,35.6,2,0,Large
472,2220154,127.38,312.62,105.6,88.7,1,0,Large
472,1918868,124.08,272.8,97.46,36.1,1,0,Large
472,1924281,125.18,268.18,82.72,48.5,1,0,Large
472,2019116,136.18,226.38,97.68,63,1,0,Large
472,1921381,113.3,267.52,87.34,53.5,1,0,Large
472,2119531,109.34,272.14,92.18,48.6,1,0,Large
472,1713212,110.44,257.62,79.2,36.2,1,0,Large
472,2016934,106.26,246.4,86.24,38.6,1,0,Large
473,2507857,243.76,331.98,196.46,542.9,2,0,Large
473,3319059,136.84,360.8,122.76,92.1,3,0,Large
473,3319229,264.44,274.56,135.08,192.8,2,0,Large
473,3707388,236.94,290.4,99.88,146.1,2,0,Large
473,3708629,135.74,311.52,53.68,43.6,3,0,Large
473,3518413,237.38,367.84,208.78,385.7,1,0,Large
473,2803926,277.64,311.52,116.38,202.1,1,0,Large
473,4001632,108.68,233.64,77.88,47.2,3,0,Large
473,2807009,233.86,316.8,108.9,152.6,1,0,Large
473,3421186,246.62,293.26,94.82,183.1,1,0,Large
473,2803729,254.1,276.32,109.78,139.1,1,0,Large
473,2508252,168.3,402.38,63.8,106.4,1,0,Large
473,2806174,137.28,236.5,106.04,42.6,2,0,Large
473,3212025,100.76,261.58,113.96,52.1,2,0,Large
473,3811281,154.66,330.88,78.1,133.9,1,0,Large
473,2709547,148.94,320.32,152.02,196.4,1,0,Large
473,2709223,166.76,249.92,161.7,226,1,0,Large
473,3320031,113.3,303.38,89.76,53.3,1,0,Large
473,2807193,136.4,250.58,125.4,72.9,1,0,Large
473,2806502,113.3,279.18,100.76,48.2,1,0,Large
473,2803665,112.64,279.18,102.52,48.1,1,0,Large
473,3209539,113.74,244.42,82.72,47.5,1,0,Large
473,2706359,104.94,259.38,71.06,32.7,1,0,Large
473,3421174,99,255.86,75.02,43.9,1,0,Large
474,4405387,122.98,303.38,97.46,58.4,5,0,Large
474,5005601,143.88,225.94,130.02,103.9,5,0,Large
474,4005939,104.06,234.08,79.86,42.9,5,0,Large
474,4910842,109.78,356.18,103.18,78.9,3,0,Large
474,4404147,223.74,474.54,79.86,188.2,1,0,Large
474,6106142,140.36,291.06,103.62,60.8,2,0,Large
474,6106951,231.22,349.58,209.22,445.6,1,0,Large
474,5005182,173.58,448.14,232.32,611,1,0,Large
474,6106936,224.18,344.3,116.16,228.5,1,0,Large
474,5005482,171.82,448.14,230.56,613.1,1,0,Large
474,4810048,177.76,421.3,58.52,110.6,1,0,Large
474,4601995,116.6,290.4,85.14,38.6,2,0,Large
474,5004969,141.46,224.18,123.86,126.4,2,0,Large
474,4404502,144.32,286.22,145.42,175.6,1,0,Large
474,5207393,135.74,287.98,96.8,69.4,1,0,Large
474,4405348,119.68,299.86,95.48,67.2,1,0,Large
474,4602572,116.6,289.3,85.36,54,1,0,Large
474,5005013,149.38,223.52,82.06,69.8,1,0,Large
474,5005064,149.38,223.52,82.06,69.4,1,0,Large
474,4602063,114.4,286.88,86.02,35.1,1,0,Large
474,5004657,143,225.72,126.06,127.5,1,0,Large
474,4403143,120.12,266.42,93.94,46.8,1,0,Large
474,5203683,111.1,266.86,134.86,74.3,1,0,Large
474,5004803,107.58,252.34,94.82,62.4,1,0,Large
474,4912017,100.76,265.76,64.9,35.5,1,0,Large
474,4808963,107.58,245.74,95.92,40.1,1,0,Large
474,4809458,105.82,247.06,85.58,40.3,1,0,Large
476,8102646,244.2,500.5,172.26,244.4,3,0,Large
476,7612323,355.3,509.74,185.46,667.2,1,0,Large
476,7612571,353.54,507.54,185.24,664.4,1,0,Large
476,7613603,184.58,341.44,137.94,160.8,2,0,Large
476,7613469,179.3,339.68,138.38,161.6,2,0,Large
476,7613251,184.58,341.44,140.14,159.9,1,0,Large
476,7613287,184.58,341.44,139.04,180.8,1,0,Large
476,7614019,184.58,339.68,138.38,160.4,1,0,Large
476,7614322,182.82,337.92,138.6,160.5,1,0,Large
476,8922523,101.86,259.82,71.5,37,2,0,Large
476,12202109,101.86,257.62,70.18,37,2,0,Large
476,13201375,146.08,256.96,126.72,66.1,1,0,Large
476,12202148,101.86,257.62,69.96,31,1,0,Large
476,8103053,99.44,247.06,92.62,34.9,1,0,Large
476,8102791,100.76,239.36,108.46,60.6,1,0,Large
476,13202161,104.5,222.86,72.6,33.2,1,0,Large
478,27135843,282.26,334.4,136.62,390,5,0,Large
478,100400062,93.72,253.44,73.26,36.9,5,0,Large
478,22901919,303.82,331.76,137.28,353.6,1,0,Large
478,20913163,115.5,286.22,90.86,50.1,3,0,Large
478,27145106,262.24,355.52,239.14,382.3,1,0,Large
478,27139395,100.76,265.76,66,32.4,3,0,Large
478,27009808,108.02,246.4,77.88,36.5,3,0,Large
478,20924396,259.38,292.16,204.38,351.6,1,0,Large
478,22902132,125.18,281.6,89.98,35.8,2,0,Large
478,27009771,109.78,247.06,78.76,33.6,2,0,Large
478,27145599,140.36,370.26,125.62,86.8,1,0,Large
478,27130708,168.96,265.76,115.94,100.7,1,0,Large
478,28702435,137.28,300.3,139.92,186.2,1,0,Large
478,27145381,133.98,273.46,115.94,48,1,0,Large
478,25103475,114.4,267.52,85.58,48,1,0,Large
478,25108347,112.64,246.4,85.8,42.5,1,0,Large
478,118007497,99.44,255.2,81.84,43.5,1,0,Large
478,27007172,101.86,247.06,69.3,29.3,1,0,Large
478,20922879,83.82,281.6,103.62,37.2,1,0,Large
478,20923692,85.14,248.16,105.6,33.5,1,0,Large
479,1131526,192.94,373.12,170.5,176.4,6,0,Large
479,1117443,184.58,433.62,58.08,110.9,3,0,Large
479,1131411,146.52,288.64,84.7,88.3,4,0,Large
479,1225719,131.12,249.26,103.4,51.1,4,0,Large
479,1131383,197.78,328.02,161.04,169.4,2,0,Large
479,1225407,109.34,278.74,101.86,68.4,3,0,Large
479,1117507,182.82,434.06,57.86,110.4,1,0,Large
479,1129814,130.02,271.04,112.42,50.4,2,0,Large
479,1224793,139.04,236.5,80.52,52.3,2,0,Large
479,1131892,143.22,226.38,128.26,57.5,2,0,Large
479,1131462,210.32,305.14,155.98,183.8,1,0,Large
479,1129786,111.54,262.9,115.06,41.4,2,0,Large
479,1129344,113.74,232.32,76.56,41.2,2,0,Large
479,1110596,198.88,229.9,93.28,77.8,1,0,Large
479,1129005,145.42,285.56,116.82,166.6,1,0,Large
479,1131292,150.7,255.86,94.16,85.6,1,0,Large
479,1132221,125.18,267.3,99.66,49.8,1,0,Large
479,1132269,123.64,270.38,99.66,50.5,1,0,Large
479,1129214,101.2,252.34,78.32,37.9,1,0,Large
479,1224703,113.74,224.18,86.9,52.6,1,0,Large
479,1131135,111.54,228.14,77.22,33.6,1,0,Large
480,1269185,292.16,354.86,158.18,276.6,6,0,Large
480,1266676,209.88,267.52,106.7,139.9,3,0,Large
480,1263046,286.22,302.72,104.5,241.4,1,0,Large
480,1267277,121.44,248.82,96.14,51.9,2,0,Large
480,1263997,123.64,236.5,89.1,44.6,2,0,Large
480,1254996,113.74,256.3,60.28,31.3,2,0,Large
480,1226141,214.94,268.18,262.02,429.5,1,0,Large
480,1226138,105.16,258.72,81.18,52.3,2,0,Large
480,1264038,114.84,234.08,78.1,45.4,2,0,Large
480,1263058,97.68,256.96,77.88,40.5,2,0,Large
480,1263085,97.68,256.96,78.98,44.1,2,0,Large
480,1265933,130.46,247.72,99,49.2,1,0,Large
480,1225982,122.98,251.68,95.04,55,1,0,Large
480,1264547,121.22,248.16,97.02,46.4,1,0,Large
480,1262678,106.92,258.72,82.5,49.6,1,0,Large
480,1229717,102.96,267.52,80.3,40.9,1,0,Large
480,1262642,106.26,258.06,80.96,59.5,1,0,Large
480,1257781,97.68,257.62,74.14,36.4,1,0,Large
480,1229092,99.44,223.52,103.62,33.7,1,0,Large
